  ilv   flv            5K           10K           20K           30K           50K           80K          100K          150K          200K          300K
   16    12    3.9443E-12    3.1228E-12    2.2306E-12    1.8274E-12    1.4945E-12    1.3257E-12    1.2782E-12    1.2320E-12    1.2257E-12    1.2478E-12
   16    13    1.3838E-12    1.2260E-12    9.2380E-13    7.6667E-13    6.3799E-13    5.8835E-13    5.8518E-13    6.0982E-13    6.4939E-13    7.3304E-13
   16    14    1.1225E-12    1.0799E-12    8.6949E-13    7.3330E-13    6.0311E-13    5.4034E-13    5.3183E-13    5.5644E-13    6.1190E-13    7.6699E-13
   16    15    2.9399E-12    2.3990E-12    1.6420E-12    1.3095E-12    1.0835E-12    1.0462E-12    1.0733E-12    1.1756E-12    1.2757E-12    1.4320E-12
   17     1    3.3886E-13    2.8822E-13    1.8993E-13    1.3469E-13    8.2100E-14    5.1660E-14    4.2166E-14    3.0928E-14    2.6429E-14    2.3460E-14
   17     2    1.2506E-12    9.6841E-13    6.3730E-13    5.0128E-13    4.1063E-13    3.9434E-13    4.0370E-13    4.4220E-13    4.8455E-13    5.6782E-13
   17     3    2.8019E-12    3.1216E-12    2.8154E-12    2.5987E-12    2.4926E-12    2.6399E-12    2.8121E-12    3.3305E-12    3.8841E-12    4.9725E-12
   17     4    9.7160E-13    8.8252E-13    7.2366E-13    6.7555E-13    6.7520E-13    7.1046E-13    7.3286E-13    7.7993E-13    8.1770E-13    8.7201E-13
   17     5    8.9229E-13    7.2880E-13    5.2228E-13    4.5289E-13    4.2673E-13    4.4045E-13    4.5250E-13    4.7624E-13    4.9205E-13    5.0989E-13
   17     6    1.3243E-12    1.0548E-12    6.3694E-13    4.5252E-13    3.1908E-13    2.8173E-13    2.8536E-13    3.1460E-13    3.4624E-13    3.9912E-13
   17     7    2.0838E-12    2.1611E-12    1.9644E-12    1.8848E-12    1.8777E-12    1.9393E-12    1.9866E-12    2.1050E-12    2.2167E-12    2.4069E-12
   17     8    2.2590E-12    2.1632E-12    1.6385E-12    1.3477E-12    1.1146E-12    1.0473E-12    1.0612E-12    1.1519E-12    1.2566E-12    1.4350E-12
   17     9    3.4020E-12    3.2412E-12    2.8647E-12    2.6749E-12    2.5716E-12    2.6166E-12    2.6809E-12    2.8645E-12    3.0443E-12    3.3536E-12
